grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;5,57;AA;0;11,15;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;5,56;A;0;11,12;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;5,48;AA;0;10,95;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;5,48;AA;0;10,95;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;5,44;AA;0;10,87;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;5,41;AA+;0;10,81;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;METLIFE;5,41;AA+;0;10,81;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;5,4;BBB+;0;10,79;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SURA;5,36;AA;0;10,71;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;5,32;AA+;0;10,65;1556;9,710000038
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SECURITY;5,31;AA-;0;10,63;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;4,94;AA;4,869999886;9,87;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;4,94;A;5;9,87;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;4,81;AA;5,53000021;9,63;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;4,81;AA+;6;9,63;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;SURA;4,73;AA;6;9,47;1556;9,710000038
Fnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;4,7;AA+;5,599999905;9,4;1556;9,710000038
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;7,21;BBB+;0;14,42;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;7,2;AA;0;14,41;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;7,19;A;0;14,38;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;METLIFE;7,18;AA+;0;14,36;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SECURITY;7,14;AA-;0;14,28;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;7,12;AA;0;14,24;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;7,11;AA-;0;14,22;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;7,09;AA+;0;14,18;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;7,09;AA;0;14,18;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;7,08;AA;0;14,16;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SURA;7,03;AA;0;14,06;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;6,98;AA+;0;13,95;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;6,25;AA+;6;12,51;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,24;AA;4,869999886;12,48;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,2;A;5;12,4;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,2;AA;5,5;12,4;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,18;AA-;5,25;12,36;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,13;AA;5,380000114;12,26;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,12;AA+;5,599999905;12,24;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;SURA;6,07;AA;6;12,14;1852;12,67000008
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;8,51;A;0;17,01;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;8,51;BBB+;0;17,01;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;8,5;AA;0;16,99;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SECURITY;8,49;AA-;0;16,97;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;8,45;AA-;0;16,89;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;8,44;AA;0;16,87;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;8,39;AA;0;16,79;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;8,34;AA+;0;16,69;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;METLIFE;8,28;AA+;0;16,56;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;8,28;AA+;0;16,56;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CHILENA CONSOLIDADA;8,27;AA+;0;16,54;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SURA;8,19;AA;0;16,38;2274;36,22999954
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;8,08;AA+;0;16,16;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;7,51;BBB+;5;15,01;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;7,45;A;5;14,89;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;7,44;AA-;4,949999809;14,87;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,44;AA;4,869999886;14,87;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;7,36;AA+;5,78000021;14,73;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;7,32;AA+;6;14,65;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;SURA;7,23;AA;6;14,46;2274;36,22999954
Fnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;7,14;AA+;5,300000191;14,28;2274;36,22999954
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;20,08;A;0;40,39;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;20;AA;0;40,23;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;19,93;AA;0;40,08;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;METLIFE;19,78;AA+;0;39,78;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CORPSEGUROS;19,76;AA;0;39,74;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;19,71;AA;0;39,64;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;19,69;AA-;0;39,6;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;19,53;BBB+;0;39,27;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;19,37;AA;0;38,95;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;19,34;AA+;0;38,91;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;SURA;19,21;AA;0;38,64;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CN LIFE;19,2;AA;0;38,62;5126;71,29000092
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;19;AA+;0;38,22;5126;71,29000092
Fnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;17,32;A;5;34,66;5126;71,29000092
