grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1b_RVI_G10agnos;PENTA VIDA;6,41;AA;4,869999886;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;6,36;A;5;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;SECURITY;6,32;AA-;6;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;METLIFE;6,32;AA+;6;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;RENTA NACIONAL;6,31;BBB+;5;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;OHIO NATIONAL;6,31;AA;5;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;CONFUTURO;6,29;AA;5,5;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;PRINCIPAL;6,24;AA+;5,579999924;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;BICE VIDA;6,24;AA+;5,300000191;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;CHILENA CONSOLIDADA;6,24;AA+;6;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;SURA;6,19;AA;6;0;1483;8,680000305
Fnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;6,09;AA+;5,5;0;1483;8,680000305
Fnivel2;1b_RVI_G10agnos;BTG PACTUAL VIDA;6,73;A;5;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;PENTA VIDA;6,71;AA;4,869999886;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;OHIO NATIONAL;6,69;AA;5;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;PRINCIPAL;6,62;AA+;5,78000021;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;SECURITY;6,61;AA-;6;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;METLIFE;6,59;AA+;6;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;CONSORCIO VIDA;6,57;AA+;5,5;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;EUROAMERICA VIDA;6,57;AA-;4,949999809;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;CONFUTURO;6,55;AA;5,5;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;CHILENA CONSOLIDADA;6,48;AA+;6;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;SURA;6,33;AA;6;0;1595;15,14999962
Fnivel2;1b_RVI_G10agnos;BICE VIDA;6,28;AA+;5,300000191;0;1595;15,14999962
Fnivel3;1b_RVI_G10agnos;PENTA VIDA;8,72;AA;4,869999886;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;RENTA NACIONAL;8,61;BBB+;5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;BTG PACTUAL VIDA;8,59;A;5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;SECURITY;8,59;AA-;6;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;OHIO NATIONAL;8,57;AA;5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;CONFUTURO;8,55;AA;5,5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;METLIFE;8,54;AA+;6;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;PRINCIPAL;8,53;AA;5,579999924;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;CORPSEGUROS;8,38;AA;5,5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;SURA;8,34;AA;6;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;CHILENA CONSOLIDADA;8,29;AA+;6;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;CONSORCIO VIDA;8,28;AA+;5,5;0;2071;32,99000168
Fnivel3;1b_RVI_G10agnos;BICE VIDA;8,18;AA+;5,300000191;0;2071;32,99000168
Fnivel4;1b_RVI_G10agnos;PENTA VIDA;13,61;AA;4,869999886;0;3378;54,75999832
Fnivel4;1b_RVI_G10agnos;OHIO NATIONAL;13,47;AA;6;0;3378;54,75999832
Fnivel4;1b_RVI_G10agnos;PRINCIPAL;13,46;AA;5,349999905;0;3378;54,75999832
Fnivel4;1b_RVI_G10agnos;METLIFE;13,43;AA+;6;0;3378;54,75999832
Fnivel4;1b_RVI_G10agnos;SECURITY;13,42;AA-;6;0;3378;54,75999832
Fnivel4;1b_RVI_G10agnos;BTG PACTUAL VIDA;13,42;A;5;0;3378;54,75999832
