grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel2;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;7,12;BBB+;5;14,24;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;7,11;AA;4,869999886;14,23;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;7,1;A;5;14,2;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;METLIFE;7,08;AA+;6;14,16;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;SECURITY;7,04;AA-;6;14,08;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;7,03;AA;5,5;14,06;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;7,02;AA-;5,25;14,04;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;CONFUTURO;7,01;AA;5,5;14,01;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;BICE VIDA;6,99;AA+;5,599999905;13,97;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;6,96;AA;5,380000114;13,91;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;SURA;6,92;AA;6;13,83;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;6,25;AA+;6;12,51;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,24;AA;4,869999886;12,48;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,2;AA;5,5;12,4;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,2;A;5;12,4;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,18;AA-;5,25;12,36;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,13;AA;5,380000114;12,26;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,12;AA+;5,599999905;12,24;1852;12,67000008
Fnivel2;3b_RT_RVD5agnos_G10agnos;SURA;6,07;AA;6;12,14;1852;12,67000008
Fnivel3;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;10,07;A;5;20,13;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;10,05;AA;4,869999886;20,08;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;CONFUTURO;10,03;AA;5,5;20,05;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;10,03;AA;5;20,05;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;10,01;AA-;5,25;20,01;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;SECURITY;9,97;AA-;6;19,93;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;9,97;AA;5,489999771;19,93;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;CHILENA CONSOLIDADA;9,95;AA+;6;19,89;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;METLIFE;9,89;AA+;6;19,79;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;CORPSEGUROS;9,88;AA;5,5;19,77;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;9,87;BBB+;5;19,75;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;SURA;9,75;AA;6;19,5;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;CN LIFE;9,71;AA;5,5;19,42;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;BICE VIDA;9,7;AA+;5,599999905;19,4;2697;30,51000023
Fnivel3;2b_RT_RVD2agnos_G10agnos;CONSORCIO VIDA;9,6;AA+;5,5;19,2;2697;30,51000023
Fnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;8,87;AA;5;17,75;2697;30,51000023
Fnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;8,84;A;5;17,69;2697;30,51000023
Fnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;8,83;AA-;5,25;17,67;2697;30,51000023
Fnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;8,82;AA;4,869999886;17,65;2697;30,51000023
