grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1a_RVI_simple;PENTA VIDA;9,21;AA;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;BTG PACTUAL VIDA;9,2;A;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;OHIO NATIONAL;9,19;AA;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;EUROAMERICA VIDA;9,19;AA-;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;CONFUTURO;9,13;AA;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;PRINCIPAL;9,13;AA+;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;SECURITY;9,08;AA-;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;METLIFE;9,03;AA+;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;CHILENA CONSOLIDADA;8,94;AA+;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;CONSORCIO VIDA;8,91;AA+;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;SURA;8,87;AA;0;0;1919;12,18000031
Fnivel1;1a_RVI_simple;BICE VIDA;8,66;AA+;0;0;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;7,02;AA;5;14,04;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,01;AA;4,869999886;14,01;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;7;BBB+;5;13,99;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,98;AA-;4,949999809;13,95;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,97;A;5;13,93;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,91;AA+;5,78000021;13,81;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;6,85;AA+;6;13,71;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;SURA;6,8;AA;6;13,61;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,68;AA+;5,300000191;13,36;1919;12,18000031
Fnivel2;1a_RVI_simple;RENTA NACIONAL;8,29;BBB+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;BTG PACTUAL VIDA;8,28;A;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;SECURITY;8,24;AA-;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;PRINCIPAL;8,2;AA+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;EUROAMERICA VIDA;8,19;AA-;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;OHIO NATIONAL;8,19;AA;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;PENTA VIDA;8,16;AA;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;CONFUTURO;8,13;AA;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;METLIFE;8,09;AA+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;CHILENA CONSOLIDADA;8,08;AA+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;BICE VIDA;8,08;AA+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;CONSORCIO VIDA;8;AA+;0;0;1949;20,39999962
Fnivel2;1a_RVI_simple;SURA;7,63;AA;0;0;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;6,56;BBB+;5;13,12;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,51;AA;5;13,02;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,5;A;5;12,99;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,47;AA;4,869999886;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,47;AA-;4,949999809;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,43;AA+;5,78000021;12,85;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;6,4;AA+;6;12,79;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,39;AA+;5,300000191;12,77;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;SURA;6,14;AA;6;12,28;1949;20,39999962
Fnivel3;1a_RVI_simple;PENTA VIDA;10,57;AA;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;BTG PACTUAL VIDA;10,5;A;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;OHIO NATIONAL;10,5;AA;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;SECURITY;10,47;AA-;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;CORPSEGUROS;10,41;AA;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;CONFUTURO;10,37;AA;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;EUROAMERICA VIDA;10,34;AA-;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;METLIFE;10,31;AA+;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;PRINCIPAL;10,26;AA+;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;CHILENA CONSOLIDADA;10,24;AA+;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;SURA;10,17;AA;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;CONSORCIO VIDA;10,13;AA+;0;0;2178;36,24000168
Fnivel3;1a_RVI_simple;BICE VIDA;10;AA+;0;0;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;8,02;AA;5;16,03;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;8,02;BBB+;5;16,03;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;8,01;AA;4,869999886;16;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;7,98;A;5;15,95;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;7,89;AA-;4,949999809;15,79;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;7,86;AA+;6;15,73;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;7,85;AA+;5,78000021;15,71;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;SURA;7,81;AA;6;15,63;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;7,71;AA+;5,300000191;15,42;2178;36,24000168
Fnivel4;1a_RVI_simple;PENTA VIDA;15,74;AA;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;BTG PACTUAL VIDA;15,68;A;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;RENTA NACIONAL;15,66;BBB+;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;PRINCIPAL;15,6;AA+;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;EUROAMERICA VIDA;15,55;AA-;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;CORPSEGUROS;15,39;AA;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;METLIFE;15,35;AA+;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;SURA;15,28;AA;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;CONFUTURO;15,27;AA;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;CN LIFE;15,13;AA;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;CHILENA CONSOLIDADA;14,9;AA+;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;CONSORCIO VIDA;14,89;AA+;0;0;3660;52,68000031
Fnivel4;1a_RVI_simple;BICE VIDA;14,81;AA+;0;0;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;12,38;BBB+;5;24,76;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;12,35;AA+;5,760000229;24,7;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;12,34;AA;4,869999886;24,69;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;12,31;A;5;24,62;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;12,27;AA-;4,949999809;24,54;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;SURA;12,2;AA;6;24,39;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;METLIFE;12,17;AA+;6;24,33;3660;52,68000031
Fnivel4;3b_RT_RVD5agnos_G10agnos;BICE VIDA;11,84;AA+;5,300000191;23,68;3660;52,68000031
Mnivel1;1a_RVI_simple;PENTA VIDA;7,75;AA;0;0;1612;8,329999924
Mnivel1;1a_RVI_simple;BTG PACTUAL VIDA;7,75;A;0;0;1612;8,329999924
