grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;5,74;A;5;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;PENTA VIDA;5,74;AA;4,869999886;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;METLIFE;5,72;AA+;6;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;PRINCIPAL;5,7;AA;5,349999905;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;SECURITY;5,68;AA-;6;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;OHIO NATIONAL;5,66;AA;6;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;RENTA NACIONAL;5,63;BBB+;5,5;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;BICE VIDA;5,54;AA+;5,599999905;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;5,53;AA+;5,5;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;SURA;5,52;AA;6;0;1541;6,170000076
Fnivel1;1b_RVI_G10agnos;CONFUTURO;5,51;AA;5,5;0;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;5,25;A;5;10,51;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;5,25;AA;4,869999886;10,51;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;5,21;AA;6;10,42;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;METLIFE;5,21;AA+;6;10,42;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;SECURITY;5,19;AA-;6;10,38;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;5,18;AA;5,349999905;10,36;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;5,17;BBB+;5,5;10,34;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONFUTURO;5,09;AA;5,5;10,18;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONSORCIO VIDA;5,09;AA+;5,5;10,18;1541;6,170000076
Fnivel1;2b_RT_RVD2agnos_G10agnos;SURA;5,08;AA;6;10,16;1541;6,170000076
